,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
0,1,"[37, 213]","[0.9064245895039771, 0.009600201210295624, 0.0003180870635733529, 0.08365712222215396]",110.83267082200166,-73.456902658027,213.0,37.0,0.9064245895039771,0.009600201210295624,0.0003180870635733529,0.08365712222215396,2513.0,2337.0
1,2,"[38, 152]","[0.13350952296411764, 0.7394473996827445, 0.051675664885808464, 0.07536741246732935]",110.83624137221722,-73.45688597493238,152.0,38.0,0.13350952296411764,0.7394473996827445,0.051675664885808464,0.07536741246732935,2452.0,2338.0
2,3,"[47, 56]","[4.449912931686453e-06, 0.9711586056081335, 0.02881240819200805, 2.4536286926731042e-05]",110.84186052369606,-73.45673582607832,56.0,47.0,4.449912931686453e-06,0.9711586056081335,0.02881240819200805,2.4536286926731042e-05,2356.0,2347.0
3,4,"[55, 9]","[0.9510512335886596, 0.04620197523001421, 0.0027344445759524263, 1.2346605373746901e-05]",110.84461149129928,-73.45660236502175,9.0,55.0,0.9510512335886596,0.04620197523001421,0.0027344445759524263,1.2346605373746901e-05,2309.0,2355.0
4,5,"[80, 129]","[0.25933342939630366, 0.011352716694004752, 0.0027896147381598242, 0.7265242391715317]",110.83758747642274,-73.45618595297415,129.0,80.0,0.25933342939630366,0.011352716694004752,0.0027896147381598242,0.7265242391715317,2429.0,2380.0
5,6,"[75, 249]","[0.0031394860949273315, 0.9855209561342493, 0.00915592548339605, 0.002183632287427388]",110.83056371935768,-73.45626930589275,249.0,75.0,0.0031394860949273315,0.9855209561342493,0.00915592548339605,0.002183632287427388,2549.0,2375.0
6,7,"[99, 86]","[0.32355014448582087, 0.1462087157289299, 0.009874318761832035, 0.5203668210234172]",110.84010419449262,-73.45586922209418,86.0,99.0,0.32355014448582087,0.1462087157289299,0.009874318761832035,0.5203668210234172,2386.0,2399.0
7,8,"[109, 166]","[0.0009006338355220271, 0.0011091731694645303, 0.0013276978339137966, 0.9966624951610996]",110.83542176756475,-73.45570265074156,166.0,109.0,0.0009006338355220271,0.0011091731694645303,0.0013276978339137966,0.9966624951610996,2466.0,2409.0
8,9,"[128, 5]","[0.015289449822939432, 0.031671113099609745, 0.011408532396044328, 0.9416309046814065]",110.84484481007044,-73.4553856858452,5.0,128.0,0.015289449822939432,0.031671113099609745,0.011408532396044328,0.9416309046814065,2305.0,2428.0
9,10,"[141, 231]","[0.020714850848764985, 0.2442561242045609, 0.04515456411417773, 0.6898744608324964]",110.83161740697378,-73.45516931793922,231.0,141.0,0.020714850848764985,0.2442561242045609,0.04515456411417773,0.6898744608324964,2531.0,2441.0
