,id,location,morphology,ra,dec,x,y,p_sph,p_disk,p_irr,p_ps,real_x,real_y
0,4,"[304, 517]","[0.004214043399937225, 0.9745820631016608, 0.01886219075981888, 0.0023417027385830972]",214.86274284971603,52.89829777735039,517.0,304.0,0.004214043399937225,0.9745820631016608,0.01886219075981888,0.0023417027385830972,1017.0,804.0
1,5,"[408, 78]","[0.0012955463222598617, 0.9025014887019072, 0.0008731634990765952, 0.09532980147675638]",214.85674029726312,52.8912826017703,78.0,408.0,0.0012955463222598617,0.9025014887019072,0.0008731634990765952,0.09532980147675638,578.0,908.0
2,6,"[101, 928]","[0.0018090313608277188, 0.9656217115435171, 0.003729507958884671, 0.02883974913677054]",214.8660385732611,52.90606907440203,928.0,101.0,0.0018090313608277188,0.9656217115435171,0.003729507958884671,0.02883974913677054,1428.0,601.0
3,7,"[528, 604]","[0.00047018126190971225, 0.9971817918259157, 0.0022364836028439636, 0.00011154330933059849]",214.86931741692428,52.8969003552929,604.0,528.0,0.00047018126190971225,0.9971817918259157,0.0022364836028439636,0.00011154330933059849,1104.0,1028.0
4,8,"[396, 601]","[0.057353506713164845, 0.8984933610714578, 0.02546362733948965, 0.01868950487588773]",214.86635502807772,52.89836484991128,601.0,396.0,0.057353506713164845,0.8984933610714578,0.02546362733948965,0.01868950487588773,1101.0,896.0
5,9,"[449, 104]","[0.0419140120102371, 0.9538990400694616, 0.0040675584664670965, 0.00011938945383425874]",214.858133845308,52.89116072611649,104.0,449.0,0.0419140120102371,0.9538990400694616,0.0040675584664670965,0.00011938945383425874,604.0,949.0
6,10,"[969, 36]","[0.0021848107848884946, 0.9832647873252558, 0.014203455918868105, 0.00034694597098761196]",214.868294343299,52.8843319841879,36.0,969.0,0.0021848107848884946,0.9832647873252558,0.014203455918868105,0.00034694597098761196,536.0,1469.0
7,11,"[404, 174]","[0.00020002360984208354, 0.9993222953544625, 6.249074603682743e-06, 0.000471431961091698]",214.85846534288507,52.892603131863424,174.0,404.0,0.00020002360984208354,0.9993222953544625,6.249074603682743e-06,0.000471431961091698,674.0,904.0
8,12,"[270, 855]","[0.00017900738165674694, 0.9998208253053665, 1.1788120677729576e-07, 4.943176997046282e-08]",214.868380066547,52.903173709539416,855.0,270.0,0.00017900738165674694,0.9998208253053665,1.1788120677729576e-07,4.943176997046282e-08,1355.0,770.0
9,13,"[891, 708]","[8.452255872097873e-05, 0.9999154774412791, 0.0, 0.0]",214.87927200391428,52.894143931557096,708.0,891.0,8.452255872097873e-05,0.9999154774412791,0.0,0.0,1208.0,1391.0
10,14,"[685, 133]","[0.0004841033472485604, 0.9995158966527514, 0.0, 0.0]",214.86387612928235,52.88885658707207,133.0,685.0,0.0004841033472485604,0.9995158966527514,0.0,0.0,633.0,1185.0
11,15,"[893, 619]","[1.022546897927775e-05, 0.9999897745310207, 0.0, 0.0]",214.87763449745086,52.89293944237693,619.0,893.0,1.022546897927775e-05,0.9999897745310207,0.0,0.0,1119.0,1393.0
12,16,"[213, 974]","[0.0, 1.0, 0.0, 0.0]",214.86937368621045,52.90540351501661,974.0,213.0,0.0,1.0,0.0,0.0,1474.0,713.0
13,17,"[833, 895]","[0.0004229044170098062, 0.9939839482662953, 0.0009139352679909246, 0.004679212048703946]",214.88152887531072,52.89728788460633,895.0,833.0,0.0004229044170098062,0.9939839482662953,0.0009139352679909246,0.004679212048703946,1395.0,1333.0
14,18,"[954, 445]","[0.0, 1.0, 0.0, 0.0]",214.8756897393156,52.889933834873304,445.0,954.0,0.0,1.0,0.0,0.0,945.0,1454.0
15,19,"[654, 489]","[2.0820681609194754e-07, 0.9999997917931839, 0.0, 0.0]",214.86991831438152,52.89393729348494,489.0,654.0,2.0820681609194754e-07,0.9999997917931839,0.0,0.0,989.0,1154.0
16,20,"[166, 899]","[0.0, 0.9640942606374038, 0.035905739362596174, 0.0]",214.86692174314175,52.90494322018972,899.0,166.0,0.0,0.9640942606374038,0.035905739362596174,0.0,1399.0,666.0
17,21,"[353, 754]","[0.0, 0.9989931907891837, 0.0010068092108162984, 0.0]",214.8682990124108,52.900886612243504,754.0,353.0,0.0,0.9989931907891837,0.0010068092108162984,0.0,1254.0,853.0
18,22,"[947, 353]","[0.00017417328076096812, 0.9995108142724618, 9.080540905561835e-05, 0.0002242070377216451]",214.87379775959752,52.88879204026811,353.0,947.0,0.00017417328076096812,0.9995108142724618,9.080540905561835e-05,0.0002242070377216451,853.0,1447.0
19,23,"[938, 915]","[0.0, 0.9994757346903538, 0.0005242653096462765, 0.0]",214.88421770524334,52.896356499851635,915.0,938.0,0.0,0.9994757346903538,0.0005242653096462765,0.0,1415.0,1438.0
