,id,RA,Dec,x,y,fwhm,area,stel,ell,theta,nf5sig,nfobs,f435w_mag,f435w_magerr,f435w_flux,f435w_fluxerr,f435w_fluxnJy,f435w_fluxnJyerr,f435w_sig,f606w_mag,f606w_magerr,f606w_flux,f606w_fluxerr,f606w_fluxnJy,f606w_fluxnJyerr,f606w_sig,f814w_mag,f814w_magerr,f814w_flux,f814w_fluxerr,f814w_fluxnJy,f814w_fluxnJyerr,f814w_sig,f105w_mag,f105w_magerr,f105w_flux,f105w_fluxerr,f105w_fluxnJy,f105w_fluxnJyerr,f105w_sig,f125w_mag,f125w_magerr,f125w_flux,f125w_fluxerr,f125w_fluxnJy,f125w_fluxnJyerr,f125w_sig,f140w_mag,f140w_magerr,f140w_flux,f140w_fluxerr,f140w_fluxnJy,f140w_fluxnJyerr,f140w_sig,f160w_mag,f160w_magerr,f160w_flux,f160w_fluxerr,f160w_fluxnJy,f160w_fluxnJyerr,f160w_sig,bright_mag,bright_magerr,zb,zbmin,zbmax,tb,odds,chisq,chisq2,M0,zml,tml
780,781,110.8362871,-73.4568771,2452.22,2339.534,0.776,671,0.03,0.083,30.3,7,7,23.4006,0.0617,8.0446,0.4701,1583.9907,92.5658,17.11,22.4773,0.0134,40.6392,0.5038,3707.6461,45.9618,80.67,22.0703,0.0105,35.479,0.3446,5393.3737,52.3834,102.96,21.8804,0.0118,56.939,0.6212,6424.6701,70.0922,91.66,21.7216,0.0168,63.6004,0.9904,7436.0308,115.7942,64.22,21.6235,0.0128,85.418,1.0159,8139.3757,96.8047,84.08,21.5454,0.0083,57.5945,0.442,8746.9827,67.1245,130.31,21.5537,26.8328,0.334,0.195,0.401,7.8,0.598,0.166,0.031,22.07,0.32,7.8
792,793,110.826452,-73.4549705,2620.257,2453.92,0.655,497,0.03,0.308,-30.9,6,7,99.0,26.7743,-0.5243,0.3598,-103.2346,70.8429,-1.46,22.1275,0.0071,56.0833,0.3666,5116.6647,33.448,152.97,21.1318,0.0044,84.2141,0.339,12801.8924,51.5371,248.4,20.7097,0.0045,167.3673,0.7026,18884.7773,79.2796,238.2,20.464,0.0058,202.5466,1.0862,23681.3497,126.9931,186.48,20.3303,0.0046,281.0983,1.195,26785.5049,113.873,235.22,20.2213,0.0031,194.9769,0.5579,29611.516,84.7297,349.48,20.2245,26.5799,4.227,4.166,4.299,7.1,1.0,4.257,0.56,21.132,4.17,6.9
797,798,110.8376015,-73.4561834,2429.76,2381.156,0.331,1183,0.03,0.082,72.0,7,7,23.868,0.1004,5.2306,0.5065,1029.9071,99.7288,10.33,21.518,0.0062,98.3231,0.5647,8970.3423,51.5205,174.11,20.5132,0.0037,148.8741,0.5021,22631.2478,76.3232,296.52,20.0674,0.0035,302.4248,0.9859,34123.886,111.2406,306.76,19.81,0.0048,369.94,1.6368,43252.6535,191.3763,226.01,19.6437,0.0035,529.0513,1.6914,50412.6283,161.1738,312.78,19.5141,0.0023,373.9963,0.7894,56799.5198,119.8892,473.77,19.5164,26.203,0.476,0.375,0.503,3.4,0.796,3.897,0.059,20.513,0.48,3.5
818,819,110.8361833,-73.4535303,2453.983,2540.34,0.251,16,0.21,0.09,-68.8,1,7,99.0,28.5185,-0.1193,0.0722,-23.4837,14.2108,-1.65,29.4759,0.8591,0.0645,0.0778,5.8837,7.0972,0.83,29.4286,1.0536,0.0404,0.0663,6.1458,10.0731,0.61,27.3108,0.2486,0.383,0.0985,43.2207,11.1186,3.89,27.2094,0.3643,0.4058,0.1618,47.4502,18.917,2.51,26.9459,0.2438,0.6347,0.1598,60.4841,15.2261,3.97,27.1135,0.1959,0.3413,0.0675,51.8344,10.2489,5.06,27.2608,28.4435,1.28,0.555,7.421,7.3,0.1,0.166,0.625,29.429,6.34,8.3
848,849,110.8229909,-73.4557271,2679.386,2408.519,0.674,38,0.0,0.134,36.7,2,7,26.2889,0.2085,0.5626,0.1191,110.7788,23.4528,4.72,26.2793,0.107,1.2249,0.1269,111.7561,11.5787,9.65,26.8032,0.2189,0.4538,0.1014,68.979,15.4085,4.48,26.5474,0.2037,0.7737,0.1596,87.3024,18.014,4.85,26.8935,0.4312,0.5429,0.2647,63.4725,30.9488,2.05,26.3065,0.222,1.1439,0.2596,108.9982,24.7323,4.41,26.0419,0.1244,0.9157,0.1111,139.0721,16.8768,8.24,26.1824,28.3318,1.885,1.201,2.918,10.6,0.195,0.38,0.702,26.803,1.41,11.0
849,850,110.8235308,-73.4558101,2670.16,2403.538,0.687,36,0.0,0.366,48.1,2,7,26.6653,0.2767,0.3978,0.1155,78.3213,22.7385,3.44,26.8892,0.1781,0.6985,0.1245,63.728,11.3628,5.61,27.2682,0.3071,0.2957,0.0967,44.9484,14.6927,3.06,26.6648,0.2229,0.6945,0.1582,78.3602,17.8533,4.39,26.8409,0.4054,0.5698,0.2579,66.6246,30.1586,2.21,26.2693,0.2134,1.1837,0.2571,112.7954,24.4964,4.6,26.4209,0.1665,0.6459,0.1071,98.0946,16.2583,6.03,26.5351,27.9272,1.357,0.728,2.853,10.4,0.169,0.323,0.54,27.268,1.36,10.7
850,851,110.8334861,-73.4535086,2500.072,2541.641,0.478,13,0.01,0.167,-39.6,0,7,99.0,28.3122,-0.1777,0.0873,-34.9902,17.1839,-2.04,30.2384,1.4267,0.0319,0.0869,2.9149,7.9317,0.37,27.9736,0.3411,0.1544,0.057,23.4715,8.6628,2.71,27.4059,0.2498,0.3509,0.0908,39.5953,10.2414,3.87,27.572,0.4431,0.2906,0.1465,33.9773,17.1243,1.98,27.3977,0.329,0.4187,0.1482,39.8964,14.1227,2.82,27.3068,0.2118,0.2856,0.0615,43.379,9.3442,4.64,27.5702,28.9736,0.819,0.356,5.902,7.2,0.096,0.029,0.327,27.974,5.19,9.0
856,857,110.8305514,-73.4562706,2550.211,2375.922,0.484,500,0.03,0.438,-82.6,6,7,25.565,0.3412,1.0959,0.4047,215.7804,79.6792,2.71,23.6807,0.0321,13.4143,0.4023,1223.8331,36.7036,33.34,22.8252,0.0199,17.7027,0.3275,2691.0973,49.7866,54.05,22.5073,0.0177,31.9623,0.5253,3606.4409,59.2743,60.84,22.3476,0.0254,35.7352,0.8465,4178.087,98.972,42.21,22.3156,0.0203,45.1575,0.854,4303.0034,81.3737,52.88,22.22,0.0127,30.9402,0.3651,4698.9473,55.4491,84.74,22.2329,27.0403,0.237,0.157,0.283,4.0,0.887,1.899,0.267,22.825,0.24,4.0
857,858,110.8307717,-73.456699,2546.445,2350.216,0.55,26,0.56,0.578,68.9,4,7,28.0021,0.7212,0.1161,0.1095,22.8644,21.5627,1.06,27.5839,0.2663,0.3684,0.1024,33.6082,9.3431,3.6,26.7616,0.1878,0.4715,0.089,71.6722,13.5329,5.3,26.1902,0.1214,1.0752,0.1272,121.3178,14.3509,8.45,26.3158,0.2175,0.9243,0.205,108.0652,23.9713,4.51,26.2492,0.1712,1.2058,0.2059,114.8955,19.6217,5.86,26.5052,0.1452,0.5976,0.0855,90.7612,12.9881,6.99,26.3269,28.5078,0.916,0.379,4.65,9.1,0.29,0.925,1.114,26.762,0.82,8.8
864,865,110.8342108,-73.4562001,2487.689,2380.157,0.317,14,0.67,0.314,-43.2,3,7,99.0,28.4685,-0.1801,0.0756,-35.4568,14.8806,-2.38,27.4355,0.1928,0.4223,0.0821,38.5287,7.4865,5.15,27.2697,0.1854,0.2953,0.055,44.8852,8.3562,5.37,27.2013,0.2133,0.4237,0.092,47.8058,10.3796,4.61,27.0331,0.2895,0.4774,0.1458,55.8141,17.0518,3.27,27.0828,0.2533,0.5595,0.147,53.3175,14.0117,3.81,27.1116,0.1785,0.3419,0.0611,51.9237,9.2795,5.6,27.3253,28.9812,0.33,0.134,4.19,9.2,0.096,0.079,0.448,27.27,3.71,9.6
877,878,110.8243719,-73.4566405,2655.782,2353.72,0.911,35,0.0,0.229,-26.9,1,7,99.0,27.9519,-0.2154,0.1216,-42.4223,23.9454,-1.77,27.0653,0.2081,0.5939,0.1254,54.1828,11.4445,4.73,27.2908,0.3158,0.2896,0.0977,44.0248,14.8595,2.96,26.526,0.1987,0.7891,0.1585,89.0417,17.8855,4.98,26.2408,0.254,0.9904,0.261,115.7937,30.5204,3.79,26.6108,0.2819,0.8642,0.2562,82.3501,24.415,3.37,26.0492,0.1225,0.9096,0.1086,138.1365,16.4958,8.37,26.1873,28.3566,1.382,0.263,3.815,8.9,0.101,0.824,1.317,27.291,3.3,8.0
878,879,110.8230254,-73.4565387,2678.787,2359.822,0.69,37,0.0,0.475,87.7,4,7,28.1632,0.8396,0.1001,0.1168,19.7119,23.0038,0.86,26.5443,0.1333,0.9597,0.1254,87.5567,11.4365,7.66,26.3454,0.1501,0.6918,0.1026,105.1583,15.5911,6.74,26.3306,0.1704,0.9447,0.1605,106.5967,18.1152,5.88,26.3357,0.2745,0.9075,0.261,106.0973,30.5195,3.48,26.3067,0.2212,1.1437,0.2585,108.9779,24.6301,4.42,25.9196,0.1111,1.0249,0.1105,155.6491,16.7751,9.28,26.0434,28.3383,3.299,0.152,3.79,9.3,0.343,0.142,0.181,26.345,3.33,9.3
879,880,110.8232027,-73.4566822,2675.758,2351.211,0.745,86,0.0,0.147,70.3,6,7,26.6187,0.3857,0.4152,0.1771,81.7556,34.8684,2.34,26.2087,0.1467,1.3072,0.1892,119.2637,17.2582,6.91,25.7809,0.1288,1.1635,0.1465,176.8713,22.2716,7.94,25.1975,0.0946,2.6826,0.2442,302.6932,27.5561,10.98,25.349,0.1764,2.2517,0.3972,263.2634,46.4445,5.67,25.0762,0.1148,3.5521,0.3962,338.4719,37.7576,8.96,25.0259,0.0749,2.3344,0.1666,354.523,25.3064,14.01,25.1063,27.8919,1.152,0.237,1.5,9.0,0.31,0.228,0.247,25.781,1.16,9.0
881,882,110.8329136,-73.4572339,2509.852,2318.124,0.773,74,0.08,0.632,-72.3,6,7,26.012,0.1999,0.726,0.1467,142.9542,28.8911,4.95,25.5562,0.0684,2.3844,0.1551,217.5349,14.1507,15.37,24.7292,0.0365,3.0651,0.1047,465.9373,15.9209,29.27,24.4771,0.0392,5.2084,0.1914,587.6836,21.5997,27.21,24.4041,0.0586,5.3764,0.2983,628.5977,34.8817,18.02,24.2272,0.0429,7.7639,0.3132,739.8125,29.8444,24.79,24.1437,0.0277,5.2606,0.1361,798.9343,20.6659,38.66,24.1722,28.1119,0.628,0.487,0.91,7.8,0.392,0.542,0.15,24.729,0.74,8.0
903,904,110.8451232,-73.4570614,2301.263,2328.455,0.689,68,0.0,0.449,72.7,6,7,28.1564,0.9915,0.1007,0.1503,19.8363,29.6002,0.67,25.7732,0.0872,1.9523,0.1632,178.1173,14.8934,11.96,25.5712,0.1031,1.4114,0.1406,214.5511,21.3771,10.04,25.4219,0.0972,2.1817,0.2044,246.1692,23.0654,10.67,25.4179,0.1601,2.1134,0.3358,247.0904,39.266,6.29,25.4703,0.1386,2.4707,0.3363,235.4327,32.0475,7.35,25.2625,0.0773,1.8772,0.1386,285.0937,21.05,13.54,25.3458,28.0919,3.512,0.208,3.978,9.4,0.484,0.281,0.301,25.571,3.52,9.4
908,909,110.8222816,-73.4563775,2691.497,2369.494,0.403,41,0.36,0.288,-13.4,4,7,28.0916,0.752,0.1069,0.1068,21.0545,21.0316,1.0,26.7448,0.1459,0.7979,0.1148,72.7933,10.4723,6.95,26.3847,0.1376,0.6671,0.0902,101.4147,13.7075,7.4,25.8961,0.1121,1.4097,0.1533,159.0651,17.2967,9.2,26.2761,0.2471,0.9587,0.245,112.0835,28.6492,3.91,26.3979,0.2262,1.0515,0.2435,100.1934,23.2065,4.32,25.9024,0.1034,1.0412,0.104,158.1333,15.8018,10.01,26.0167,28.4032,0.56,0.169,3.98,8.8,0.25,1.207,1.482,26.385,0.55,8.9
911,912,110.8320416,-73.4565183,2524.749,2361.061,0.472,213,0.04,0.06,4.5,6,7,25.6245,0.2556,1.0374,0.2754,204.2747,54.221,3.77,25.2328,0.0935,3.2117,0.2888,293.0127,26.3501,11.12,24.0673,0.037,5.6386,0.1956,857.1564,29.7316,28.83,23.6424,0.0317,11.2356,0.3334,1267.7573,37.6179,33.7,23.528,0.0472,12.0481,0.535,1408.6413,62.5508,22.52,23.3419,0.0334,17.5468,0.5483,1672.0145,52.2435,32.0,23.2287,0.0208,12.2187,0.2362,1855.6769,35.8704,51.73,23.2499,27.5132,0.82,0.572,0.967,7.0,0.506,1.259,0.411,24.067,0.86,7.2
913,914,110.8237726,-73.457468,2666.013,2304.063,0.923,58,0.0,0.404,-65.7,7,7,25.6423,0.1965,1.0205,0.2024,200.9442,39.8614,5.04,25.3787,0.0805,2.8079,0.2161,256.1714,19.7142,12.99,25.2742,0.0948,1.8553,0.1692,282.0342,25.7229,10.96,25.3805,0.1222,2.2665,0.27,255.742,30.4677,8.39,25.1359,0.1651,2.7402,0.4501,320.3759,52.6239,6.09,24.9498,0.1146,3.9905,0.4442,380.2532,42.3303,8.98,24.8912,0.0739,2.6427,0.1862,401.3467,28.2731,14.2,24.9705,27.7716,2.601,0.202,3.149,9.7,0.424,0.17,0.152,25.274,2.69,9.7
922,923,110.8326866,-73.4569116,2513.73,2337.464,0.323,1352,0.08,0.187,66.1,7,7,23.4653,0.0932,7.5795,0.6794,1492.4288,133.7814,11.16,21.6147,0.0087,89.9436,0.7277,8205.853,66.3936,123.59,20.664,0.0043,129.5756,0.5131,19697.5721,78.0046,252.52,20.1926,0.0041,269.4773,1.0304,30406.2859,116.2608,261.54,19.9464,0.0056,326.248,1.7017,38144.2705,198.9593,191.72,19.7849,0.0041,464.5134,1.7635,44262.895,168.0375,263.41,19.6517,0.0026,329.4862,0.8026,50039.6947,121.8895,410.53,19.6544,26.1851,0.407,0.328,0.453,4.3,0.884,0.349,0.057,20.664,0.4,4.4
